"Timestamp","What is your age?","What is your ethnicity/race? ","How do you identify yourself (gender)?","What is your religious standing?","Do you identify with one of the two major political parties? If so, please select one:","It is necessary for the government to preserve order and the rule of law during times of civil unrest (even if it means violating individual rights and the Constitution)","The rule of law is more important than individual freedoms","The decision of President Trump to deploy tear gas against peaceful demonstrators (for his photo op at St. Johns Episcopal Church) is justified","The current militarization of police in the US is necessary","Law enforcement officers should be given leniency for acting on impulse (e.g. ""I feared for my life"")","Law enforcement officers should face more severe penalties for murder (due to their ability to legally wield more firepower)","How do you feel about the statement ""All Cops are Bastards"" (ACAB)?","Is the US police system in need of systematic reform?","The government should treat the peaceful demonstrators separately from the destructive rioters/looters when using force","Do you think President Trump has handled the widespread protests effectively?","Social media activism is helpful (not including donations)","What have you contributed to this social movement so far?","Do you think you will care equally about current sociopolitical issues and activism after the social media hype is dead?","I am part of a systematically oppressed group in the US","Have you had a run-in with the police/other authority that YOU feel was racially motivated?","""White privilege"" is real"," ""A riot is the language of the unheard."" - MLK","We should be:","Additional thoughts (if you would like to add onto any one of your responses or clarify your thoughts on any question)","Do you consent to having your responses included in any analyses of the data?"
"2020/06/05 12:01:57 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Muslim","Democratic Party","2","2","1","2","1","5","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","No","Yes","3","Neither","","Yes"
"2020/06/05 12:10:43 AM MDT","18-22","Asian/Pacific Islander","Female","Christian/Catholic","No party affiliations","3","3","1","4","2","4","1","Yes","Yes","No","4","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 12:11:24 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","2","1","5","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 12:42:52 AM MDT","18-22","Caucasian/White","Female","Christian/Catholic","Democratic Party","5","2","1","5","3","5","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Reflected on your own conscious/subconscious bias;Signed petitions","Yes","No","Yes","Yes","3","""Color-aware""","","Yes"
"2020/06/05 1:00:42 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Jain","Democratic Party","2","2","2","2","3","4","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 1:41:32 AM MDT","18-22","Asian/Pacific Islander","Female","Hindu","Democratic Party","2","4","1","2","1","5","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 1:41:55 AM MDT","< 18","Asian/Pacific Islander","Female","Christian/Catholic","Democratic Party","2","2","1","1","2","5","4","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;watched videos that will donate ad revenue","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 2:24:51 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Atheist/Agnostic","Democratic Party","3","2","1","1","1","5","5","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","Yes","Yes","4","Neither","","Yes"
"2020/06/05 4:05:07 AM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","Democratic Party","1","3","1","1","1","5","5","Yes","Yes","No","2","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","5","""Color-aware""","For the social media activism question— I said somewhat disagree, BUT I think it can be useful when done correctly (e.g. posting petition links, fundraisers, amplifying black voices, protest resources, resources on how to be an ally, etc.). The way most people do it (see: posting a black square with a cute caption and doing nothing else) is NOT beneficial; in fact, it provides a false sense of self-satisfaction that often results in a lack of further self-education and action to dismantle systematic racism.","Yes"
"2020/06/05 6:22:04 AM MDT","> 55","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","1","2","1","1","1","5","1","Yes","Yes","No","4","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","3","""Color-aware""","","Yes"
"2020/06/05 6:38:40 AM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","3","1","1","4","1","5","2","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias","Yes","No","No","Somewhat","3","Neither","","Yes"
"2020/06/05 6:40:10 AM MDT","23-28","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","5","2","1","1","1","5","5","Yes","I don't know","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 8:43:54 AM MDT","29-55","Asian/Pacific Islander","Female","Christian/Catholic","Democratic Party","2","3","1","2","3","4","1","Yes","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","I don't know","","Yes"
"2020/06/05 9:03:59 AM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","No party affiliations","1","3","1","1","2","4","1","Yes","Yes","No","1","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","3","Neither","","Yes"
"2020/06/05 9:45:14 AM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","Democratic Party","2","1","2","1","1","5","3","I don't know","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","(From the last question) I think we should be “aware” of color but more accepting of it. Not “I don’t see your color” but instead “I see your color and I understand your worth” ","Yes"
"2020/06/05 10:03:15 AM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","1","1","1","1","1","5","1","Yes","Yes","No","2","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Somewhat","5","""Color-aware""","","Yes"
"2020/06/05 10:28:32 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Republican Party","4","3","2","3","2","3","1","Yes","Yes","Somewhat","1","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias","I don't know","Yes","No","Yes","3","""Color-aware""","","Yes"
"2020/06/05 11:06:06 AM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Male","Muslim","No party affiliations","1","3","1","1","1","5","3","Yes","Yes","No","1","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/05 11:10:10 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","1","3","5","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","5","Neither","","Yes"
"2020/06/05 11:35:51 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","3","2","1","2","2","5","4","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 11:37:23 AM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Buddhist","Democratic Party","4","3","1","1","1","5","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-blind""","I do not condone riots, looting. Yet I do agree that ""riot is the language of the unheard"". I believe there needs to be more compassion, understanding and patience from those of us who are more privileged about the systemic looting of human dignity and the denial of the basic rights of life, liberty, equal justice to particular sections of people based on color. The words in the Declaration of Independence are our highest ideals and it time we rose to it.","Yes"
"2020/06/05 11:56:00 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Atheist/Agnostic","Democratic Party","2","1","1","1","1","5","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 12:43:22 PM MDT","< 18","White and Indian ","Female","Hindu","Democratic Party","2","3","1","2","2","4","4","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 1:03:49 PM MDT","< 18","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","4","2","1","1","2","3","2","Yes","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","3","""Color-aware""","","Yes"
"2020/06/05 1:23:18 PM MDT","> 55","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","2","2","1","1","2","3","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 1:36:38 PM MDT","< 18","Asian/Pacific Islander","Male","Christian/Catholic","Democratic Party","3","2","1","4","1","5","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","4","I don't know","","Yes"
"2020/06/05 1:54:24 PM MDT","29-55","Caucasian/White","Female","Christian/Catholic","No party affiliations","2","1","1","2","1","4","1","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 2:01:17 PM MDT","29-55","Caucasian/White","Male","Christian/Catholic","Republican Party","2","2","1","1","2","3","1","Yes","Yes","No","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias","Yes","No","No","Somewhat","4","""Color-aware""","","Yes"
"2020/06/05 2:03:51 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","2","1","1","1","2","2","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 2:04:54 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","1","1","3","2","5","1","Yes","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 2:18:01 PM MDT","> 55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","2","1","1","2","3","1","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-blind""","We ‘should’ be color blind but we also need to be culturally aware, which may come with being color aware. ","Yes"
"2020/06/05 2:18:21 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","2","1","1","1","5","3","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 2:20:17 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","1","2","4","1","Yes","Yes","No","4","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Participated in the Stanford Vigil and attended a talk by a professor about the current situation ","Yes","No","No","Yes","1","""Color-aware""","I like to agree with MLK. I would have agreed with the MLK if the word riot was replaced by protest. The word riot  conveys looting to me ","Yes"
"2020/06/05 2:29:58 PM MDT","18-22","Asian/Pacific Islander","Male","Christian/Catholic","Democratic Party","2","1","1","1","3","4","1","I don't know","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","I don't know","No","Yes","3","I don't know","","Yes"
"2020/06/05 2:32:27 PM MDT","29-55","Asian/Pacific Islander","Female","Hindu","Democratic Party","5","4","1","3","2","5","1","Yes","Yes","No","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.)","Yes","No","Yes","Yes","4","""Color-blind""","","Yes"
"2020/06/05 2:37:42 PM MDT","> 55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","3","3","1","1","1","5","2","Yes","Yes","No","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-blind""","","Yes"
"2020/06/05 2:41:24 PM MDT","29-55","Asian/Pacific Islander","Female","Hindu","Democratic Party","5","4","1","3","2","5","1","Yes","Yes","No","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.)","Yes","No","Yes","Yes","4","""Color-blind""","","Yes"
"2020/06/05 2:44:30 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","4","4","3","2","3","3","4","I don't know","Yes","Somewhat","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Somewhat","2","Neither","Trump has no feelings for anyone but himself. That said he got the riots under control which democrats couldn’t do. Democrats shut down the economy which contributed to the unrest.  Also the country is becoming white + Asian vs black vs Latino.  Talks about race are really nice but the reality is that it is becoming a 3 way fight.  By helping blacks (ie more affirmative action) they will take away from Asians.  It is a zero sum game unfortunately. Also the lockdowns have to end.  It is only increasing the economic inequality. Trump isn’t getting credit for that.  Democrats are crashing the economy and adding to the income inequality. I don’t know that much about policy tactics so I won’t comment on that issue. ","Yes"
"2020/06/05 2:58:24 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Christian/Catholic","No party affiliations","3","3","1","2","3","3","2","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","Yes","Yes","4","""Color-aware""","","Yes"
"2020/06/05 3:04:33 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Republican Party","4","1","1","4","2","5","1","Yes","Yes","Somewhat","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","No","1","""Color-blind""","","Yes"
"2020/06/05 3:09:16 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Muslim","Democratic Party","1","2","1","1","1","5","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","No","Yes","5","""Color-aware""","As a non black person of color, I feel obliged to educate myself and bring awareness to my community on systematic racism. ","Yes"
"2020/06/05 3:10:24 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","1","1","1","1","4","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-aware""","When we all become aware of our own bias and reactions to ALL judgements in all areas of life we will have more compassion towards the other.  Being mindful of your own thoughts, words and actions is the fundamental skill we are all lacking.  It should be taught in schools and all workplaces especially to professions like the police and those that interact with minorities who are judged on a daily basis.  Mindful training is a foundation to all change. 
Thank you for doing this survey.  Would love to see the final results.  Good luck!","Yes"
"2020/06/05 3:21:15 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Prefer not to say","Democratic Party","3","3","1","1","1","5","4","No","I don't know","No","1","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","I don't know","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 3:54:17 PM MDT","> 55","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Republican Party","3","3","1","1","1","5","1","Yes","Yes","No","5","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-blind""","Disarm cops like UK and many other countries. ","Yes"
"2020/06/05 4:07:46 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","2","2","4","2","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","3","""Color-aware""","","Yes"
"2020/06/05 4:19:12 PM MDT","> 55","Born in India. Now USA citizen ","Female","Hindu","Democratic Party","3","3","1","1","5","5","1","Yes","Yes","No","5","Signed petitions/legislation","I don't know","I don't know","No","Somewhat","3","Neither","I tried my best to answer these question. Some did not understand. What is happening in USA now never seen before. White House  did not take care of the situation properly. Peaceful Protests always help. Time has come it has to change !! ","Yes"
"2020/06/05 5:02:07 PM MDT","18-22","Caucasian/White","Male","Christian/Catholic","Libertarian","1","1","1","1","1","4","5","Yes","Yes","No","2","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation;debate online","Yes","No","No","Yes","4","I don't know","","Yes"
"2020/06/05 5:18:29 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Prefer not to say","Democratic Party","2","2","1","1","2","4","2","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","Yes","Yes","5","""Color-blind""","","Yes"
"2020/06/05 5:19:53 PM MDT","18-22","South Asian/Indian Subcontinent","Male","Atheist/Agnostic","No party affiliations","2","1","1","1","2","1","2","Yes","I don't know","No","2","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","No","No","Somewhat","4","""Color-aware""","","Yes"
"2020/06/05 5:25:42 PM MDT","23-28","African American/Black","Female","Christian/Catholic","Democratic Party","1","2","1","1","1","5","1","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","Yes","Yes","5","""Color-aware""","","No"
"2020/06/05 5:25:53 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","4","3","1","3","3","4","1","Yes","Yes","I don't know","5","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","I don't know","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 5:28:46 PM MDT","23-28","African American/Black","Female","Christian/Catholic","Democratic Party","1","2","1","5","1","5","1","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/05 5:48:32 PM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","Libertarian","2","1","1","1","1","5","2","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","No","No","Somewhat","5","""Color-blind""","One thought I have is how ""woke"" people are trying to be saying silence is complience and shit like that. Its just a way to guilt people to distract and post on social media and does not solve any issues at all","Yes"
"2020/06/05 6:17:38 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","3","3","1","1","1","4","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 6:19:50 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","4","3","1","1","1","5","3","I don't know","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Signed petitions/legislation","Yes","No","No","Somewhat","4","Neither","","Yes"
"2020/06/05 7:00:10 PM MDT","29-55","Caucasian/White","Female","Christian/Catholic","No party affiliations","2","1","1","2","1","4","1","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 7:37:26 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","1","1","1","1","1","4","2","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","Neither","","Yes"
"2020/06/05 7:40:49 PM MDT","> 55","Jewish American","Male","Buddhist","They all disgust me","1","3","1","1","1","4","3","Yes","Yes","No","3","Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","3","Neither","","Yes"
"2020/06/05 7:58:06 PM MDT","18-22","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","2","1","1","1","2","5","4","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","No","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 8:03:24 PM MDT","29-55","South Asian/Indian Subcontinent","Male","Hindu","No party affiliations","4","5","2","4","4","5","1","No","Yes","Somewhat","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Signed petitions/legislation","I don't know","No","No","Yes","4","I don't know","","Yes"
"2020/06/05 8:07:05 PM MDT","29-55","South Asian/Indian Subcontinent","Male","Hindu","No party affiliations","4","5","2","4","4","5","1","No","Yes","Somewhat","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Signed petitions/legislation","I don't know","No","No","Yes","4","I don't know","","Yes"
