"Timestamp","What is your age?","What is your ethnicity/race? ","How do you identify yourself (gender)?","What is your religious standing?","Do you identify with one of the two major political parties? If so, please select one:","It is necessary for the government to preserve order and the rule of law during times of civil unrest (even if it means violating individual rights and the Constitution)","The rule of law is more important than individual freedoms","The decision of President Trump to deploy tear gas against peaceful demonstrators (for his photo op at St. Johns Episcopal Church) is justified","The current militarization of police in the US is necessary","Law enforcement officers should be given leniency for acting on impulse (e.g. ""I feared for my life"")","Law enforcement officers should face more severe penalties for murder (due to their ability to legally wield more firepower)","How do you feel about the statement ""All Cops are Bastards"" (ACAB)?","Is the US police system in need of systematic reform?","The government should treat the peaceful demonstrators separately from the destructive rioters/looters when using force","Do you think President Trump has handled the widespread protests effectively?","Social media activism is helpful (not including donations)","What have you contributed to this social movement so far?","Do you think you will care equally about current sociopolitical issues and activism after the social media hype is dead?","I am part of a systematically oppressed group in the US","Have you had a run-in with the police/other authority that YOU feel was racially motivated?","""White privilege"" is real"," ""A riot is the language of the unheard."" - MLK","We should be:","Additional thoughts (if you would like to add onto any one of your responses or clarify your thoughts on any question)","Do you consent to having your responses included in any analyses of the data?"
"2020/06/05 8:40:03 PM MDT","< 18","Asian/Pacific Islander","Female","Christian/Catholic","Democratic Party","2","2","1","1","1","5","4","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/05 9:33:09 PM MDT","18-22","South Asian/Indian Subcontinent","Female","Atheist/Agnostic","Democratic Party","4","4","1","5","1","1","3","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","No","Yes","5","""Color-aware""","I think the law should be upheld over individual liberties. But it's more important that the law protect individuals of all backgrounds equally and fairly!
I'd also like to say that I dont know what colour blind and colour aware are. I'd say colour blind is like equality and colour aware is like equity. (Referring to the picture of children standing on boxes to see over a wall, if you know that pic)

Also I didn't grow up in US- I grew up in SE Asia in a country with a more collectivistic culture ","Yes"
"2020/06/05 10:05:46 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","1","1","1","1","2","5","3","Yes","Yes","No","3","Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-blind""","","Yes"
"2020/06/05 10:40:29 PM MDT","18-22","South Asian/Indian Subcontinent","Female","Prefer not to say","No party affiliations","2","2","1","1","1","5","5","Yes","No","Somewhat","1","Participated or plan to participate in a physical protest/demonstration of any kind;Signed petitions/legislation","Yes","I don't know","Yes","Yes","4","""Color-aware""","","Yes"
"2020/06/05 11:50:00 PM MDT","> 55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","2","3","1","1","2","4","2","Yes","Yes","No","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 11:51:38 PM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","No party affiliations","3","2","2","2","2","3","1","Yes","Yes","No","2","Nothing;Will contribute in voting booth","Yes","No","No","Somewhat","3","I don't know","-Question 1 should be separated into two questions; many may strongly support maintaining law and order while also believing that upholding constitutional rights is essential
-Usage of phrases like ACAB and widespread support of violent rioting only serves to drive the silent majority of moderate Americans away from this potential valuable movement. Most Americans dont hate every police officer and most dont like to see businesses burning and looted. Whether or not these are morally acceptable methods, they are not widely popular outside of the social media bubble. That's not to say this has to be a movement that kowtows to political moderates; it cannot, however, be wholly unpalatable to those who vote in every election because that's where the real change can occur.
-With a dramatic increase in concern about racial issues and interest in movements such as Black Lives Matter often comes a dramatic decrease in concern after a short period of time. I find it likely that many of the people currently participating in social media activism and even in-person protests are simply doing it because it's a current trend, less so because it's something they truly believe in—even if their hearts are in the right place. In order to avoid making this another fad, characteristics and strategies of the successful 1960s Civil Rights Movement should be employed. Inspiring leaders, distinct symbolism, peaceful civil defiance strategies, clear policy ideas, and organization are vital for any movement seeking to create lasting reform. 
-White Privilege is certainly a factor in many facets of life, but I believe that its effects are often overstated and the effects of socioeconomic disparities are often understated. Many of the white vs. black differences in privileges in life can be more accurately ascribed to differences in wealth among America's racial groups—that is what needs to be changed in order to achieve greater equity.
-Most agree that this MLK quote is being taken out of context in its current usage; MLK is not supporting rioting or citing it as an effective means of affecting change. He is saying that it is the default human response to injustice and that those who wish to maintain the moral high ground and act strategically should not participate in rioting.","Yes"
"2020/06/06 12:36:29 AM MDT","29-55","South Asian/Indian Subcontinent","Female","Prefer not to say","Democratic Party","4","4","1","3","2","5","1","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","No","2","""Color-aware""","","Yes"
"2020/06/06 1:24:03 AM MDT","29-55","South Asian/Indian Subcontinent","Female","Sikh","Democratic Party","4","4","1","2","3","2","1","I don't know","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","I don't know","No","Yes","3","""Color-aware""","","Yes"
"2020/06/06 2:32:17 AM MDT","18-22","Asian/Pacific Islander","Male","Atheist/Agnostic","Democratic Party","2","2","1","1","2","4","3","Yes","Yes","No","4","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","the ride never ends","Yes"
"2020/06/06 3:04:10 AM MDT","> 55","South Asian/Indian Subcontinent","Male","Atheist/Agnostic","No party affiliations","3","3","3","3","3","3","3","I don't know","I don't know","I don't know","3","Nothing","No","I don't know","No","Somewhat","3","I don't know","","No"
"2020/06/06 5:04:05 AM MDT","< 18","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","4","4","1","2","2","5","1","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","2","""Color-aware""","","Yes"
"2020/06/06 5:08:51 AM MDT","29-55","Caucasian/White","Male","Christian/Catholic","Republican Party","4","4","1","4","2","4","1","I don't know","Yes","I don't know","4","Had talks with family/friends about potential racial bias","Yes","No","No","Somewhat","3","""Color-aware""","","Yes"
"2020/06/06 5:25:50 AM MDT","29-55","South Asian/Indian Subcontinent","Male","Hindu","No party affiliations","3","4","1","4","3","4","1","I don't know","Yes","No","4","Had talks with family/friends about potential racial bias","No","No","No","Yes","2","I don't know","For most people in their lives. Their interaction with police ppl will be when something bad has happened to them. These people do a lot of good work and don’t really get paid much. Of course there are bad ones - like bad doctors and fraudulent business folks, and garbage folks, and waiters. Unfortunately these incidents involve people’s lives and that’s what takes it to a different level. What would you do with a bad doctor who lets a patient die or a bad embezzling business person. This about racial inequality and unfortunately the looting incidents will be more remembered than Floyd. The blacks are not the first group of ppl in history to be oppressed - and apparently it happens for 100s of years in different countries. Are the Chinese oppressed? The Indians? A black person can be president. 
Our policemen spend 99% of their time defending and protecting and eating some donuts. But this group of bad actors unfortunately defined the rest. Clearly the bad cops had poor intent and judgement. They should be incarcerated. 
But I don’t want the black community to think it’s ok to loot. 
I would prefer a group of ppl that showed up to school, did their homework, got a job, showed up on time , paid their bills and voted. That’s being a good citizen and an American. Why should we make special rules for ppl that have been living in America for 200 to 300 years. Why not special rules for the hard working Hispanics or Chinese or Indians ? Why not ?","Yes"
"2020/06/06 7:01:04 AM MDT","> 55","Born in India. Now USA citizen ","Female","Hindu","Democratic Party","3","3","1","1","5","5","1","Yes","Yes","No","5","Signed petitions/legislation","I don't know","I don't know","No","Somewhat","3","Neither","I tried my best to answer these question. Some did not understand. What is happening in USA now never seen before. White House  did not take care of the situation properly. Peaceful Protests always help. Time has come it has to change !! ","Yes"
"2020/06/06 9:25:15 AM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","1","1","1","3","1","5","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","I don't know","No","Yes","2","""Color-blind""","","Yes"
"2020/06/06 10:25:57 AM MDT","29-55","Asian/Pacific Islander","Male","Atheist/Agnostic","No party affiliations","1","1","1","1","2","2","3","Yes","Yes","No","2","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","Yes","Yes","Yes","4","""Color-aware""","","Yes"
"2020/06/06 10:28:35 AM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","Democratic Party","2","1","1","1","1","4","1","Yes","No","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","No","No","Yes","5","""Color-blind""","to the question about whether looters should be treated separately: i said no because i dont think the government or police should use any force, but they should arrest looters and people who are violently protesting","Yes"
"2020/06/06 10:37:10 AM MDT","29-55","Caucasian/White","Female","Atheist/Agnostic","Republican Party","3","3","1","4","2","4","1","I don't know","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","Yes","Yes","3","""Color-blind""","","Yes"
"2020/06/06 10:37:32 AM MDT","29-55","Caucasian/White","Female","Atheist/Agnostic","Republican Party","3","3","1","4","2","4","1","I don't know","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","Yes","Yes","3","""Color-blind""","","Yes"
"2020/06/06 10:41:17 AM MDT","< 18","Asian/Pacific Islander","Female","Atheist/Agnostic","Democratic Party","2","1","1","2","1","4","5","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-blind""","","Yes"
"2020/06/06 10:56:42 AM MDT","> 55","Caucasian/White","Female","Atheist/Agnostic","Democratic Party","4","4","1","1","1","5","1","Yes","Yes","No","4","Had talks with family/friends about potential racial bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/06 11:17:21 AM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","No party affiliations","1","2","1","1","1","5","4","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","No","Yes","4","""Color-aware""","","Yes"
"2020/06/06 11:19:12 AM MDT","18-22","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","3","3","1","2","2","4","4","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","Yes","Yes","4","""Color-aware""","","Yes"
"2020/06/06 12:12:54 PM MDT","18-22","Asian/Pacific Islander","Female","Atheist/Agnostic","Democratic Party","1","1","1","1","1","5","2","Yes","No","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/06 1:14:27 PM MDT","< 18","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","3","2","1","2","1","5","4","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/06 1:16:29 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","1","1","1","3","1","5","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","I don't know","No","Yes","2","""Color-blind""","","Yes"
"2020/06/06 1:20:10 PM MDT","> 55","South Asian/Indian Subcontinent","Male","Prefer not to say","Democratic Party","3","3","1","1","1","4","1","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","I don't know","No","Somewhat","3","Neither","","Yes"
"2020/06/06 1:37:05 PM MDT","18-22","Middle Eastern","Female","Christian/Catholic","Democratic Party","2","2","1","1","2","4","5","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","5","""Color-aware""","thanks for including a middle eastern racial option, the us govt. refused to add it to the census in 2020 which means that brown middle eastern and north africans have to legally mark themselves as white, despite the fact that they are not.","Yes"
"2020/06/06 1:44:29 PM MDT","< 18","White & Latino (not sure the exact percentage)","Male","Prefer not to say","No party affiliations","3","2","1","2","1","4","1","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Signed petitions/legislation","Yes","No","No","Somewhat","2","I don't know","In response to my thoughts on the MLK quote: 
I’d like to say that I recognize the anger and motivation towards the riots and I do believe the initial riots in Minnesota were necessary in order to garner national attention. However every city in America is suffering huge losses that they may never recover from. I think it’s especially unproductive to burn down family-owned/small businesses who are supporting the BLM movement. It’s not a productive way of protesting and MLK only said that quote to say he understood the meaning of rioting, he never openly supported it. 
Quick disclaimer: I am against point blank ANYONE who loots in response to the murders regardless of race. I am not from that group of people who hold the opinion that it’s only black people starting the riots. 
Second disclaimer: Also anybody who cares more about the riots than the ongoing police brutality has a completely short sided view of the world and they should not be taken seriously. I also am not of this group of people ","Yes"
"2020/06/06 2:05:46 PM MDT","18-22","Asian and white","Female","Atheist/Agnostic","No party affiliations","2","2","1","1","2","5","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","No","Yes","5","""Color-aware""","","Yes"
"2020/06/06 5:05:49 PM MDT","> 55","Caucasian/White","Male","Christian/Catholic","Democratic Party","3","2","1","1","2","2","1","Yes","Yes","No","2","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","4","""Color-aware""","Color aware should also mean color sensitive. ","Yes"
"2020/06/06 5:48:34 PM MDT","29-55","Caucasian/White","Female","Atheist/Agnostic","Republican Party","3","3","1","4","2","4","1","I don't know","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","Yes","Yes","3","""Color-blind""","","Yes"
"2020/06/06 5:59:26 PM MDT","< 18","South Asian/Indian Subcontinent","Male","Prefer not to say","No party affiliations","4","3","1","3","2","5","3","Yes","Yes","No","2","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","I don't know","","Yes"
"2020/06/06 10:44:49 PM MDT","18-22","South Asian/Indian Subcontinent","Female","Hindu","No party affiliations","2","2","1","3","2","4","2","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","No","Somewhat","3","""Color-blind""","the eventual goal is to be “color-blind” however since currently there is inequality/inequity among races in the US being “color-aware” or racially sensitive makes sense in other to uplift oppressed groups ","Yes"
"2020/06/06 11:56:34 PM MDT","18-22","Asian/Pacific Islander","Female","Prefer not to say","Democratic Party","2","1","1","1","1","5","3","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/07 9:45:26 AM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","No party affiliations","3","4","1","2","2","4","2","Yes","Yes","No","4","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","I don't know","No","Yes","4","""Color-blind""","","Yes"
"2020/06/07 11:25:35 AM MDT","29-55","South Asian/Indian Subcontinent","Female","unitarian universalist","Democratic Party","1","3","1","5","1","3","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/07 4:05:12 PM MDT","> 55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","2","3","1","1","2","4","2","Yes","Yes","No","5","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/07 6:53:40 PM MDT","> 55","Caucasian/White","Male","Christian/Catholic","Republican Party","5","3","1","3","1","4","1","Yes","Yes","Somewhat","1","Nothing","Yes","No","No","No","5","""Color-blind""","","Yes"
"2020/06/07 9:00:10 PM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","Democratic Socialist","1","1","1","1","1","5","5","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/07 11:58:24 PM MDT","< 18","Asian/Pacific Islander","Male","Atheist/Agnostic","No party affiliations","2","2","1","1","3","3","4","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","No","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/08 2:38:49 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","2","1","1","1","1","3","3","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","4","Neither","","Yes"
"2020/06/08 4:36:19 PM MDT","29-55","Asian/Pacific Islander","Male","Christian/Catholic","No party affiliations","2","3","2","1","2","1","1","I don't know","Yes","No","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","I don't know","No","Yes","2","""Color-aware""","","Yes"
"2020/06/08 8:32:51 PM MDT","< 18","Caucasian/White","Male","Jewish","Democratic Party","1","1","1","1","1","5","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","5","""Color-blind""","","Yes"
"2020/06/09 2:01:58 AM MDT","< 18","Mixed Asian white Hispanic ","Male","There’s some higher power, won’t know until I get there","No party affiliations","1","1","1","1","1","5","3","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Signed petitions/legislation","No","No","Yes","No","2","""Color-blind""","","No"
"2020/06/09 4:13:42 AM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","Democratic Party","1","1","1","1","1","3","5","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-blind""","","Yes"
"2020/06/09 5:20:45 AM MDT","29-55","Caucasian/White","Female","Christian/Catholic","Democratic Party","3","2","1","1","2","2","1","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Read books","I don't know","No","No","Yes","4","""Color-aware""","Racism is a system that exists in our US society.  We can't deny this.  When George Floyd was murdered and unrest started, one of my black friends shared how she hugged her 3-year old son and told him that there will be times when others may be mean to me due to the color of his skin.  As a white woman, this is a conversation that I have never had with my son. I understand my privilege and hope to do more.","Yes"
"2020/06/09 10:45:16 AM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","1","1","1","1","1","5","3","Yes","I don't know","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","5","I don't know","#2020Vision - stay woke after the year ends.","Yes"
"2020/06/09 11:21:50 AM MDT","18-22","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","2","2","1","5","2","1","1","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/09 12:48:27 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Prefer not to say","Democratic Party","3","2","1","1","1","4","1","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","I don't know","No","Yes","2","""Color-blind""","","Yes"
"2020/06/09 6:43:27 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","3","2","1","1","1","5","1","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/09 9:45:50 PM MDT","18-22","Caucasian/White","Other (non-binary, trans, etc.)","Atheist/Agnostic","No party affiliations","1","1","1","4","1","1","2","Yes","Yes","Somewhat","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias","No","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/11 2:16:06 PM MDT","29-55","South Asian/Indian Subcontinent","Female","Hindu","Democratic Party","3","3","1","1","1","5","3","Yes","Yes","No","3","Reflected on your own conscious/subconscious bias","No","I don't know","No","Yes","1","""Color-aware""","","Yes"
"2020/06/14 10:13:51 PM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","No party affiliations","1","2","1","1","1","4","5","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/15 8:10:38 PM MDT","18-22","Asian American","Male","Atheist/Agnostic","Democratic Party","2","5","1","5","1","5","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","I don't know","No","Yes","5","""Color-aware""","","Yes"
"2020/06/19 11:01:16 PM MDT","29-55","Caucasian/White","Female","Christian/Catholic","No party affiliations","2","1","1","2","1","4","1","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/24 4:58:29 AM MDT","18-22","South Asian/Indian Subcontinent","Female","Hindu","No party affiliations","2","2","1","1","3","4","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","I don't know","No","Yes","Yes","4","""Color-aware""","","Yes"
"2020/07/23 3:29:28 PM MDT","< 18","Asian/Pacific Islander","Male","Christian/Catholic","Democratic Party","3","2","1","4","1","5","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Signed petitions/legislation","Yes","Yes","No","Yes","4","I don't know","","Yes"